ISO country numeric code,ISO country code,Country,World region,t0 Survey,t0 Year,t1 Survey,t1 Year,Region,t0 Multidimensional Poverty Index (MPI) range0to1,t1 Multidimensional Poverty Index (MPI) range0to1,Abs annualized MPI change value,Rel annualized MPI change % change,t0 Multidimensional Headcount Ratio (H),t1 Multidimensional Headcount Ratio (H),Abs annualized H change p.p,Rel annualized H change % change,t0 Intensity of Poverty (A) % of weighted deprivations,t1 Intensity of Poverty (A) % of weighted deprivations,Abs annualized A change p.p,Rel annualized A change in % change,t0 Vulnerable to poverty % pop.,t1 Vulnerable to poverty % pop.,Abs annualized Vulnerable change p.p,Rel annualized Vulnerable change % change,t0 In severe poverty % pop.,t1 In severe poverty % pop.,Abs annualized severe poverty change p.p,Rel annualized severe poverty change % change,t0 Total share of pop.,t0 Total pop. Thousands,t0 Total pop. Year,t1 Total share of pop.,t1 Total pop. Thousands,t1 Total pop. Year,t0 MPI poor people Thousands,t1 MPI poor people Thousands,t0 Vulnerable people Thousands,t1 Vulnerable people Thousands,t0 MPI severe poverty Thousands,t1 MPI severe poverty Thousands,t0 Censored headcount ratio for nutrition % pop,t1 Censored headcount ratio for nutrition % pop,Abs. annualized censored headcount ratio change for nutrition p.p,Rel. annualized censored headcount ratio change for nutrition % change,t0 Censored headcount ratio for child mortality % pop,t1 Censored headcount ratio for child mortality % pop,Abs. annualized censored headcount ratio change for cilid mortality pp,Rel. annualized censored headcount ratio change for child mortality % change,t0 Censored headcount ratio for years of schooling % pop,t1 Censored headcount ratio for years of schooling % pop,Abs. annualized censored headcount ratio change for years of schooling pp,Rel. annualized censored headcount ratio change for years of schooling % change,t0 Censored headcount ratio for school attendance % pop,t1 Censored headcount ratio for school attendance % pop,Abs. annualized censored headcount ratio change for school attendance p.p,Rel. annualized censored headcount ratio change for school attendance % change,t0 Censored headcount ratio for cooking fuel % pop,t1 Censored headcount ratio for cooking fuel % pop,Abs. annualized censored headcount ratio change for cooking fuel p.p,Rel. annualized censored headcount ratio change for cooking fuel % change,t0 Censored headcount ratio for sanitation % pop,t1 Censored headcount ratio for sanitation % pop,Abs. annualized censored headcount ratio change for sanitation p.p,Rel. annualized censored headcount ratio change for sanitation % change,t0 Censored headcount ratio for drinking water % pop,t1 Censored headcount ratio for drinking water % pop,Abs. annualized censored headcount change for drinking water p.p,Rel. annualized censored headcount change for drinking water % change,t0 Censored headcount ratio for electricity % pop,t1 Censored headcount ratio for elecricity % pop,Abs. annualized censored headcount ratio change for electricity p.p,Rel. annualized censored headcount ratio change for electricity % change,t0 Censored headcount ratio for housing % pop,t1 Censored headcount ratio for housing % pop,Abs. annualized censored headcount ratio change for housing p.p,Rel. annualized censored headcount ratio change for housing % change,t0 Censored headcount ratio for assets % pop,t1 Censored headcount ratio for assets % pop,Abs. annualized censored headcount ratio change for assets p.p,Rel. annualized censored headcount ratio change for assets % change
454,MWI,Malawi,Sub-Saharan Africa,DHS,2010,DHS,2015-2016,Dedza,0.417,0.320,-0.02,-4.72,80.41,67.62,-2.33,-3.10,51.89,47.29,-0.84,-1.67,15.22,24.69,1.72,9.20,45.43,26.68,-3.41,-9.22,0.06,878,2010,0.04,730,2016,706,494,134,180,399,195,29.19,28.71,-0.09,-0.30,7.70,6.79,-0.17,-2.27,56.12,44.33,-2.14,-4.20,19.72,8.97,-1.95,-13.35,80.41,67.62,-2.33,-3.10,70.15,23.47,-8.49,-18.05,45.24,41.54,-0.67,-1.54,79.96,67.24,-2.31,-3.10,78.14,62.60,-2.83,-3.95,58.99,46.71,-2.23,-4.16
454,MWI,Malawi,Sub-Saharan Africa,DHS,2015-2016,MICS,2019-2020,Dedza,0.320,0.318,0.00,-0.12,67.62,66.29,-0.33,-0.50,47.29,48.00,0.18,0.37,24.69,22.35,-0.58,-2.46,26.68,25.89,-0.20,-0.74,0.04,730,2016,0.05,"1,056",2020,494,700,180,236,195,273,28.71,29.50,0.20,0.68,6.79,3.54,-0.81,-15.00,44.33,45.46,0.28,0.63,8.97,9.74,0.19,2.10,67.62,66.10,-0.38,-0.57,23.47,30.84,1.84,7.07,41.54,32.23,-2.33,-6.15,67.24,63.61,-0.91,-1.38,62.60,62.20,-0.10,-0.16,46.71,52.97,1.57,3.20
454,MWI,Malawi,Sub-Saharan Africa,DHS,2010,DHS,2015-2016,Dowa,0.344,0.270,-0.01,-4.32,67.85,57.22,-1.93,-3.05,50.65,47.12,-0.64,-1.31,27.89,30.67,0.51,1.75,31.42,20.33,-2.02,-7.61,0.05,732,2010,0.04,772,2016,497,442,204,237,230,157,40.92,27.08,-2.52,-7.23,7.63,5.68,-0.35,-5.23,27.07,25.65,-0.26,-0.98,20.67,9.76,-1.98,-12.76,67.85,57.22,-1.93,-3.05,65.82,28.90,-6.71,-13.90,35.96,38.58,0.48,1.29,65.29,57.22,-1.47,-2.37,61.43,56.47,-0.90,-1.52,33.43,42.39,1.63,4.41
454,MWI,Malawi,Sub-Saharan Africa,DHS,2015-2016,MICS,2019-2020,Dowa,0.270,0.241,-0.01,-2.75,57.22,52.36,-1.21,-2.19,47.12,46.06,-0.27,-0.57,30.67,27.48,-0.80,-2.71,20.33,16.58,-0.94,-4.98,0.04,772,2016,0.04,861,2020,442,451,237,237,157,143,27.08,20.25,-1.71,-7.01,5.68,4.74,-0.23,-4.38,25.65,27.24,0.40,1.51,9.76,10.06,0.08,0.77,57.22,51.87,-1.34,-2.42,28.90,31.26,0.59,1.98,38.58,25.07,-3.38,-10.22,57.22,49.16,-2.01,-3.72,56.47,49.91,-1.64,-3.04,42.39,39.94,-0.61,-1.48
454,MWI,Malawi,Sub-Saharan Africa,DHS,2010,DHS,2015-2016,Karonga,0.243,0.177,-0.01,-5.66,52.85,43.64,-1.67,-3.42,46.03,40.45,-1.01,-2.32,36.68,33.54,-0.57,-1.61,20.98,7.32,-2.48,-17.42,0.02,292,2010,0.02,344,2016,154,150,107,116,61,25,29.52,18.61,-1.98,-8.05,6.96,3.24,-0.68,-12.97,11.50,12.57,0.19,1.63,6.35,3.69,-0.48,-9.39,52.85,43.64,-1.67,-3.42,52.85,25.68,-4.94,-12.30,30.05,28.00,-0.37,-1.28,52.85,43.55,-1.69,-3.46,50.90,37.47,-2.44,-5.42,35.43,25.09,-1.88,-6.08
454,MWI,Malawi,Sub-Saharan Africa,DHS,2015-2016,MICS,2019-2020,Karonga,0.177,0.143,-0.01,-5.10,43.64,33.55,-2.52,-6.36,40.45,42.66,0.55,1.34,33.54,35.49,0.49,1.43,7.32,8.60,0.32,4.10,0.02,344,2016,0.02,434,2020,150,146,116,154,25,37,18.61,14.86,-0.94,-5.47,3.24,2.70,-0.13,-4.44,12.57,8.24,-1.08,-10.02,3.69,4.55,0.22,5.39,43.64,33.52,-2.53,-6.38,25.68,22.74,-0.74,-3.00,28.00,21.08,-1.73,-6.84,43.55,31.45,-3.03,-7.82,37.47,29.99,-1.87,-5.42,25.09,27.86,0.69,2.66
454,MWI,Malawi,Sub-Saharan Africa,DHS,2010,DHS,2015-2016,Kasungu,0.326,0.246,-0.01,-4.96,65.43,53.43,-2.18,-3.62,49.77,46.08,-0.67,-1.39,24.97,34.14,1.67,5.85,31.35,18.17,-2.40,-9.44,0.06,847,2010,0.04,714,2016,554,382,212,244,266,130,36.79,30.15,-1.21,-3.55,12.24,4.43,-1.42,-16.88,25.06,17.18,-1.43,-6.63,12.00,4.07,-1.44,-17.86,65.36,53.43,-2.17,-3.60,64.21,38.12,-4.74,-9.05,43.19,43.16,-0.01,-0.01,63.80,52.41,-2.07,-3.51,57.76,50.57,-1.31,-2.39,33.62,37.92,0.78,2.21
454,MWI,Malawi,Sub-Saharan Africa,DHS,2015-2016,MICS,2019-2020,Kasungu,0.246,0.189,-0.01,-6.43,53.43,42.06,-2.84,-5.80,46.08,44.86,-0.30,-0.67,34.14,32.20,-0.48,-1.45,18.17,14.45,-0.93,-5.57,0.04,714,2016,0.04,849,2020,382,357,244,274,130,123,30.15,18.61,-2.89,-11.37,4.43,3.65,-0.20,-4.74,17.18,15.87,-0.33,-1.96,4.07,7.10,0.76,14.96,53.43,41.95,-2.87,-5.87,38.12,29.02,-2.28,-6.59,43.16,24.27,-4.72,-13.40,52.41,38.71,-3.43,-7.30,50.57,38.34,-3.06,-6.68,37.92,31.64,-1.57,-4.43
454,MWI,Malawi,Sub-Saharan Africa,DHS,2010,DHS,2015-2016,Lilongwe,0.322,0.211,-0.02,-7.40,62.76,44.46,-3.33,-6.08,51.23,47.37,-0.70,-1.41,22.32,27.10,0.87,3.59,34.16,17.86,-2.96,-11.12,0.12,"1,793",2010,0.15,"2,637",2016,"1,125","1,172",400,715,613,471,29.29,23.07,-1.13,-4.25,8.21,6.47,-0.32,-4.25,35.41,22.51,-2.35,-7.91,15.79,2.66,-2.39,-27.68,62.76,44.46,-3.33,-6.08,56.98,27.86,-5.29,-12.20,41.89,30.14,-2.14,-5.81,60.47,44.46,-2.91,-5.44,55.25,39.93,-2.78,-5.73,35.24,28.19,-1.28,-3.98
454,MWI,Malawi,Sub-Saharan Africa,DHS,2015-2016,MICS,2019-2020,Lilongwe,0.211,0.231,0.00,2.29,44.46,49.59,1.28,2.77,47.37,46.50,-0.22,-0.47,27.10,24.11,-0.75,-2.89,17.86,17.16,-0.17,-0.98,0.15,"2,637",2016,0.18,"3,461",2020,"1,172","1,716",715,834,471,594,23.07,22.04,-0.26,-1.13,6.47,3.26,-0.80,-15.76,22.51,31.16,2.16,8.48,2.66,7.73,1.27,30.60,44.46,49.47,1.25,2.71,27.86,29.42,0.39,1.37,30.14,15.55,-3.65,-15.25,44.46,47.10,0.66,1.45,39.93,44.21,1.07,2.58,28.19,36.71,2.13,6.83
454,MWI,Malawi,Sub-Saharan Africa,DHS,2010,DHS,2015-2016,Machinga,0.374,0.325,-0.01,-2.56,71.39,66.21,-0.94,-1.36,52.43,49.02,-0.62,-1.22,21.27,23.75,0.45,2.02,40.29,31.10,-1.67,-4.60,0.03,470,2010,0.04,651,2016,336,431,100,155,190,202,29.51,32.55,0.55,1.80,7.64,4.04,-0.65,-10.94,48.17,47.66,-0.09,-0.20,20.55,5.59,-2.72,-21.07,71.28,66.21,-0.92,-1.33,63.00,33.39,-5.38,-10.90,37.28,44.93,1.39,3.45,71.28,66.21,-0.92,-1.33,68.63,63.97,-0.85,-1.27,44.60,39.97,-0.84,-1.97
454,MWI,Malawi,Sub-Saharan Africa,DHS,2015-2016,MICS,2019-2020,Machinga,0.325,0.289,-0.01,-2.87,66.21,60.50,-1.43,-2.23,49.02,47.76,-0.31,-0.65,23.75,25.96,0.55,2.26,31.10,24.79,-1.58,-5.51,0.04,651,2016,0.04,722,2020,431,437,155,187,202,179,32.55,27.63,-1.23,-4.01,4.04,4.02,0.00,-0.10,47.66,40.52,-1.78,-3.97,5.59,7.63,0.51,8.08,66.21,60.22,-1.50,-2.34,33.39,35.89,0.62,1.82,44.93,25.50,-4.86,-13.20,66.21,58.52,-1.92,-3.04,63.97,57.72,-1.56,-2.53,39.97,42.76,0.70,1.70
454,MWI,Malawi,Sub-Saharan Africa,DHS,2010,DHS,2015-2016,Mangochi,0.404,0.313,-0.02,-4.56,75.98,64.24,-2.13,-3.00,53.23,48.70,-0.82,-1.60,16.16,19.20,0.55,3.18,44.75,32.44,-2.24,-5.68,0.07,973,2010,0.07,"1,201",2016,740,772,157,231,436,390,26.76,35.07,1.51,5.04,5.83,4.05,-0.32,-6.42,52.82,42.70,-1.84,-3.80,29.83,15.41,-2.62,-11.32,75.98,63.79,-2.22,-3.13,67.95,24.85,-7.84,-16.72,41.66,20.06,-3.93,-12.44,75.75,62.41,-2.42,-3.46,71.34,61.45,-1.80,-2.68,49.54,38.89,-1.94,-4.30
454,MWI,Malawi,Sub-Saharan Africa,DHS,2015-2016,MICS,2019-2020,Mangochi,0.313,0.378,0.02,4.83,64.24,74.13,2.47,3.65,48.70,50.97,0.57,1.15,19.20,16.43,-0.69,-3.82,32.44,37.97,1.38,4.02,0.07,"1,201",2016,0.06,"1,230",2020,772,912,231,202,390,467,35.07,34.56,-0.13,-0.37,4.05,5.16,0.28,6.22,42.70,53.79,2.77,5.95,15.41,15.16,-0.06,-0.39,63.79,73.27,2.37,3.52,24.85,56.74,7.97,22.93,20.06,29.26,2.30,9.90,62.41,71.92,2.38,3.61,61.45,67.08,1.41,2.21,38.89,55.86,4.24,9.47
454,MWI,Malawi,Sub-Saharan Africa,DHS,2010,DHS,2015-2016,Mchinji,0.373,0.294,-0.01,-4.22,75.31,61.48,-2.51,-3.62,49.48,47.83,-0.30,-0.62,19.94,29.33,1.71,7.26,33.39,23.80,-1.74,-5.97,0.04,552,2010,0.03,560,2016,415,344,110,164,184,133,37.89,32.59,-0.96,-2.71,8.66,8.49,-0.03,-0.35,36.83,27.12,-1.76,-5.41,14.42,8.20,-1.13,-9.75,75.31,61.48,-2.51,-3.62,73.63,47.35,-4.78,-7.72,39.86,36.16,-0.67,-1.75,74.49,61.38,-2.38,-3.46,69.73,57.22,-2.28,-3.53,44.34,36.49,-1.43,-3.48
454,MWI,Malawi,Sub-Saharan Africa,DHS,2015-2016,MICS,2019-2020,Mchinji,0.294,0.277,0.00,-1.46,61.48,57.53,-0.99,-1.64,47.83,48.19,0.09,0.19,29.33,30.30,0.24,0.82,23.80,23.62,-0.04,-0.19,0.03,560,2016,0.03,616,2020,344,354,164,187,133,145,32.59,27.84,-1.19,-3.86,8.49,3.60,-1.22,-19.29,27.12,31.62,1.12,3.91,8.20,10.09,0.47,5.33,61.48,57.20,-1.07,-1.79,47.35,45.22,-0.53,-1.14,36.16,25.49,-2.67,-8.37,61.38,53.98,-1.85,-3.16,57.22,54.59,-0.66,-1.17,36.49,43.04,1.64,4.21
454,MWI,Malawi,Sub-Saharan Africa,DHS,2010,DHS,2015-2016,Mulange,0.324,0.264,-0.01,-3.61,65.10,58.26,-1.24,-2.00,49.73,45.40,-0.79,-1.64,27.99,25.95,-0.37,-1.37,26.87,17.21,-1.76,-7.78,0.04,528,2010,0.04,756,2016,343,440,148,196,142,130,29.96,25.17,-0.87,-3.12,6.62,6.67,0.01,0.15,40.10,28.92,-2.03,-5.77,12.22,8.92,-0.60,-5.57,65.10,58.26,-1.24,-2.00,64.95,32.67,-5.87,-11.74,25.81,28.12,0.42,1.57,65.03,56.97,-1.47,-2.38,59.38,54.81,-0.83,-1.44,35.78,36.21,0.08,0.22
454,MWI,Malawi,Sub-Saharan Africa,DHS,2015-2016,MICS,2019-2020,Mulange,0.264,0.205,-0.01,-6.19,58.26,46.59,-2.92,-5.43,45.40,43.96,-0.36,-0.80,25.95,32.12,1.54,5.48,17.21,12.48,-1.18,-7.72,0.04,756,2016,0.03,669,2020,440,312,196,215,130,83,25.17,22.06,-0.78,-3.24,6.67,2.37,-1.08,-22.82,28.92,25.37,-0.89,-3.23,8.92,4.45,-1.12,-15.96,58.26,46.57,-2.92,-5.45,32.67,30.10,-0.64,-2.03,28.12,16.79,-2.83,-12.10,56.97,43.92,-3.26,-6.30,54.81,41.41,-3.35,-6.77,36.21,27.16,-2.26,-6.94
454,MWI,Malawi,Sub-Saharan Africa,DHS,2010,DHS,2015-2016,Mwanza,0.352,0.244,-0.02,-6.44,72.58,49.70,-4.16,-6.65,48.54,49.15,0.11,0.23,19.80,26.92,1.29,5.74,34.38,24.27,-1.84,-6.13,0.01,85,2010,0.01,127,2016,62,63,17,34,29,31,30.52,18.64,-2.16,-8.57,5.56,2.80,-0.50,-11.71,35.39,34.53,-0.16,-0.45,12.93,9.47,-0.63,-5.49,72.58,49.70,-4.16,-6.65,70.89,31.68,-7.13,-13.62,52.43,25.85,-4.83,-12.06,68.94,48.98,-3.63,-6.03,68.45,48.03,-3.71,-6.24,47.68,39.11,-1.56,-3.54
454,MWI,Malawi,Sub-Saharan Africa,DHS,2015-2016,MICS,2019-2020,Mwanza,0.244,0.266,0.01,2.15,49.70,57.29,1.90,3.62,49.15,46.43,-0.68,-1.41,26.92,24.68,-0.56,-2.15,24.27,21.55,-0.68,-2.93,0.01,127,2016,0.01,133,2020,63,76,34,33,31,29,18.64,24.39,1.44,6.95,2.80,3.88,0.27,8.50,34.53,30.74,-0.95,-2.86,9.47,5.68,-0.95,-12.01,49.70,57.29,1.90,3.62,31.68,35.01,0.83,2.53,25.85,45.99,5.03,15.49,48.98,53.85,1.22,2.40,48.03,50.32,0.57,1.17,39.11,42.21,0.78,1.93
454,MWI,Malawi,Sub-Saharan Africa,DHS,2010,DHS,2015-2016,Mzimba,0.268,0.169,-0.02,-8.03,60.64,39.31,-3.88,-7.58,44.17,43.01,-0.21,-0.49,30.76,36.74,1.09,3.28,18.47,9.16,-1.69,-11.96,0.05,773,2010,0.06,"1,118",2016,469,439,238,411,143,102,27.34,26.49,-0.15,-0.57,8.88,2.25,-1.20,-22.07,14.31,5.39,-1.62,-16.26,8.74,7.31,-0.26,-3.20,60.64,39.31,-3.88,-7.58,58.83,22.02,-6.69,-16.36,35.69,23.88,-2.15,-7.05,56.26,38.32,-3.26,-6.75,54.93,33.20,-3.95,-8.75,38.02,23.26,-2.68,-8.55
454,MWI,Malawi,Sub-Saharan Africa,DHS,2015-2016,MICS,2019-2020,Mzimba,0.169,0.155,0.00,-2.19,39.31,36.14,-0.79,-2.08,43.01,42.82,-0.05,-0.11,36.74,33.71,-0.76,-2.13,9.16,9.21,0.01,0.14,0.06,"1,118",2016,0.06,"1,070",2020,439,387,411,361,102,99,26.49,17.36,-2.28,-10.03,2.25,1.93,-0.08,-3.73,5.39,12.29,1.72,22.87,7.31,5.35,-0.49,-7.49,39.31,35.96,-0.84,-2.20,22.02,23.79,0.44,1.95,23.88,21.43,-0.61,-2.67,38.32,32.65,-1.42,-3.92,33.20,28.46,-1.18,-3.77,23.26,25.46,0.55,2.28
